,date,volatility,polarity
0,2022-01-31,24.83,0.5199996793335814
1,2022-02-01,21.959999,0.4917745671420947
2,2022-02-02,22.09,0.13351519893436997
3,2022-02-03,24.35,-0.2635053701321224
4,2022-02-04,23.219999,0.21999991826855383
5,2022-02-07,22.860001,0.24043121205584786
6,2022-02-08,21.440001,0.4290001564848319
7,2022-02-09,19.959999,0.19487175974356225
8,2022-02-10,23.91,0.2518693922955441
9,2022-02-11,27.360001,0.05304659335950116
10,2022-02-14,28.33,0.46992454755062557
11,2022-02-15,25.700001,0.31336383267714546
12,2022-02-16,24.290001,0.5627236844884895
13,2022-02-17,28.110001,0.2261959536220344
14,2022-02-18,27.75,0.3975138000373821
15,2022-02-22,28.809999,0.201388710166066
16,2022-02-23,31.02,-0.011904779743729286
17,2022-02-24,30.32,0.2392581725467188
18,2022-02-25,27.59,0.3764878706953341
19,2022-02-28,30.15,0.12845143669310227
20,2022-03-01,33.32,0.16528717605469861
21,2022-03-02,30.74,0.16363128205010735
22,2022-03-03,30.48,0.07388899830847732
23,2022-03-04,31.98,0.2665077768148052
24,2022-03-07,36.450001,0.26666649405069653
25,2022-03-08,35.130001,0.3662431505950665
26,2022-03-09,32.450001,0.10028189343100077
27,2022-03-10,30.23,0.16275504078557765
28,2022-03-11,30.75,-0.034811697306650846
29,2022-03-14,31.77,0.1491547920107011
30,2022-03-15,29.83,0.36813667768122954
31,2022-03-16,26.67,0.5317457256669887
32,2022-03-17,25.67,0.38641953835407117
33,2022-03-18,23.870001,0.14474473258087664
34,2022-03-21,23.530001,0.13466667035106272
35,2022-03-22,22.940001,0.3842097822967345
36,2022-03-23,23.57,0.10876987574941911
37,2022-03-24,21.67,0.01805204936628572
38,2022-03-25,20.809999,0.11811963627615299
39,2022-03-28,19.629999,0.24523762945898517
40,2022-03-29,18.9,0.28593218634804424
41,2022-03-30,19.33,0.3447617082669724
42,2022-03-31,20.559999,0.13271223768158685
43,2022-04-01,19.629999,0.1221952219483771
44,2022-04-04,18.57,0.04236950536047338
45,2022-04-05,21.030001,-0.159820243146162
46,2022-04-06,22.1,0.28198180455720834
47,2022-04-07,21.549999,0.1063427211616874
48,2022-04-08,21.16,0.12096778938162833
49,2022-04-11,24.370001,0.3082490170763445
50,2022-04-12,24.26,0.16318292547351873
51,2022-04-13,21.82,0.16067537481938815
52,2022-04-14,22.700001,0.32009873051601373
53,2022-04-18,22.17,0.3667145704721278
54,2022-04-19,21.370001,-0.06069769403377532
55,2022-04-20,20.32,0.18528860163012406
56,2022-04-21,22.68,0.32160489009943305
57,2022-04-22,28.209999,0.29115359549357406
58,2022-04-25,27.02,0.3399469284429462
59,2022-04-26,33.52,0.011784646067000165
60,2022-04-27,31.6,0.030000029694407803
61,2022-04-28,29.99,0.27044860496759465
62,2022-04-29,33.400002,0.42128818221586123
