Date,Open,High,Low,Close,Adj Close,Volume
2022-02-01,24.570000,25.330000,21.959999,21.959999,21.959999,0
2022-02-02,21.559999,22.730000,20.459999,22.090000,22.090000,0
2022-02-03,22.629999,25.809999,22.299999,24.350000,24.350000,0
2022-02-04,23.770000,26.260000,22.070000,23.219999,23.219999,0
2022-02-07,24.090000,24.820000,22.020000,22.860001,22.860001,0
2022-02-08,23.090000,23.480000,21.320000,21.440001,21.440001,0
2022-02-09,21.270000,21.299999,19.930000,19.959999,19.959999,0
2022-02-10,20.370001,24.770000,20.180000,23.910000,23.910000,0
2022-02-11,24.389999,30.990000,23.330000,27.360001,27.360001,0
2022-02-14,29.170000,32.040001,28.330000,28.330000,28.330000,0
2022-02-15,28.090000,28.090000,25.330000,25.700001,25.700001,0
2022-02-16,25.190001,27.090000,23.879999,24.290001,24.290001,0
2022-02-17,24.830000,28.370001,24.760000,28.110001,28.110001,0
2022-02-18,26.660000,29.709999,26.379999,27.750000,27.750000,0
2022-02-22,31.799999,32.040001,28.400000,28.809999,28.809999,0
2022-02-23,28.040001,31.070000,27.200001,31.020000,31.020000,0
2022-02-24,37.500000,37.790001,29.450001,30.320000,30.320000,0
2022-02-25,31.680000,32.000000,26.930000,27.590000,27.590000,0
2022-02-28,32.439999,33.509998,28.430000,30.150000,30.150000,0
